fecha;turno;categoria;maquina;gramaje;ancho;peso_kg;metros_lineales;arranque;rangos;ajustes_de_maquina;merma_kg;merma_mts
23/01/2026;A;BOPP/COEX/;SUPER SIMPLEX ;70.08;710;502;12989;14.8;0;0;14.8;297.45
23/01/2026;A;BOPP/COEX/;SUPER SIMPLEX ;70.08;710;418;10851;5.2;0;0;5.2;104.51
23/01/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;1080;2806;74121;36.5;0;0;36.5;1069.5
23/01/2026;A;Saranizado/COEX/;SIMPLEX 2;77.44;650;287;5553;10;17;0;27;536.38
23/01/2026;A;Saranizado/COEX/;SIMPLEX 2;77.44;825;77;1196;13;19;0;32;500.86
23/01/2026;A;Saranizado/COEX/;SIMPLEX 2;77.44;825;184;2953;4;0;0;4;62.61
23/01/2026;A;BOPP/Metalizado/;SIMPLEX 2;45.58;1080;113;2170;21.5;0;0;21.5;436.76
23/01/2026;A;BOPP/PP Cast/;SIMPLEX 2;72.38;741;796;14274;18;0;0;18;335.61
23/01/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;1080;3582;94089;6;0;0;6;175.81
23/01/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;1080;590;15325;6;0;0;6;175.81
23/01/2026;B;BOPP/PP Cast/;SIMPLEX 2;72.38;741;749;13371;7;0;0;7;130.52
23/01/2026;B;BOPP/PP Cast/;SIMPLEX 2;62.5;510;788;23231;6;0;0;6;188.24
23/01/2026;B;BOPP/Metalizado/;SIMPLEX 2;45.38;1080;1989;36938;11;0;0;11;224.44
26/01/2026;A;BOPP/Metalizado/;COMBI;27.4;960;3359;113740;26;0;0;26;988.44
26/01/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;27.2;1040;1553;47233;19;0;0;19;671.66
26/01/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;27.2;1080;1589;47388;34;0;0;34;1157.41
26/01/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;3469;93277;17;0;0;17;498.12
26/01/2026;B ;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;3022;80779;62;0;0;62;1816.69
