fecha,turno,categoria,maquina,gramaje,ancho,peso_kg,metros_lineales,MERMA_Kg
5/02/2026,A,BOPP/Metalizado/,SIMPLEX 2,31.6,900.0,3447,106940.0,38.0
26/02/2026,A,BOPP/Metalizado/,SIMPLEX 2,28.5,860.0,452,17561.0,20.0
3/03/2026,A,BOPP/Metalizado/,COMBI,65.89,882.0,81,1500.0,6.0
24/02/2026,A,BOPP/COEX/,SUPER SIMPLEX ,65.88,1150.0,631,11532.0,6.8
3/03/2026,B,BOPP/PP Cast/,SIMPLEX 2,62.5,510.0,385,11316.0,8.0
6/02/2026,A,Poliester/COEX/,SIMPLEX 2,120.37,882.0,1277,15462.0,51.0
18/03/2026,A,BOPP/Metalizado/,SUPER SIMPLEX ,31.6,900.0,2047,64611.0,44.0
13/02/2026,B,BOPP/PP Cast/,SIMPLEX 2,72.38,615.0,1404,30622.0,60.0
24/02/2026,B,BOPP/Metalizado/,COMBI,27.4,960.0,1920,63604.0,17.0
3/03/2026,A,BOPP/Metalizado/,SUPER SIMPLEX ,61.26,910.0,557,14211.0,12.0
4/03/2026,A,BOPP/Metalizado/,COMBI,31.6,900.0,1256,39830.0,10.0
17/02/2026,A,BOPP/COEX/,SUPER SIMPLEX ,65.88,1150.0,562,10288.0,22.0
19/03/2026,B,BOPP/Metalizado/,SUPER SIMPLEX ,,,840,19203.0,7.0
26/01/2026,B ,BOPP/Metalizado/,COMBI,27.4,960.0,3330,113223.0,34.5
24/02/2026,B,BOPP/Metalizado/,SIMPLEX 2,31.6,1080.0,588,15614.0,34.0
23/02/2026,B,BOPP/Metalizado/,SIMPLEX 2,31.6,900.0,1423,45735.0,18.0
16/02/2026,A,BOPP/COEX/,SUPER SIMPLEX ,61.26,900.0,2237,58932.0,55.0
19/03/2026,A,BOPP/PP Cast/,SIMPLEX 2,62.5,510.0,266,7861.0,15.0
17/02/2026,A,BOPP/COEX/,SUPER SIMPLEX ,65.88,1150.0,899,16426.0,9.0
23/01/2026,A,BOPP/PP Cast/,SIMPLEX 2,72.38,741.0,796,14274.0,18.0
11/02/2026,B,Saranizado/COEX/,SIMPLEX 2,77.44,825.0,106,1579.0,32.0
4/02/2026,A,BOPP/Metalizado/,SUPER SIMPLEX ,45.38,1080.0,1204,22601.0,19.0
11/02/2026,A,BOPP/Metalizado/,COMBI,31.6,900.0,1396,43098.0,15.0
23/01/2026,A,BOPP/COEX/,SUPER SIMPLEX ,70.08,710.0,502,12989.0,14.8
28/01/2026,A,BOPP/Metalizado/,COMBI,27.4,960.0,3387,115274.0,28.0
28/01/2026,B,BOPP/Metalizado/,SUPER SIMPLEX ,27.4,960.0,1374,46255.0,16.0
18/03/2026,B,BOPP/Metalizado/,SIMPLEX 2,28.4,800.0,1142,41761.0,6.0
26/02/2026,A,BOPP/COEX/,SUPER SIMPLEX ,61.26,910.0,1035,25371.0,33.0
10/02/2026,A,BOPP/PP Cast/,SIMPLEX 2,63.0,900.0,208,36045.0,39.0
13/02/2026,B,BOPP/BOPP/,SIMPLEX 2,54.4,950.0,345,6338.0,16.0
25/02/2026,B,BOPP/Metalizado/,SUPER SIMPLEX ,31.7,960.0,1173,34074.0,14.0
13/02/2026,A,BOPP/PP Cast/,SIMPLEX 2,72.38,615.0,1501,32405.0,14.0
30/01/2026,B,BOPP/Metalizado/,SUPER SIMPLEX ,31.6,900.0,1150,35672.0,14.0
